"Method Name",MLOC
javax.imageio.ImageReader#getRawImageType(int),4
javax.imageio.ImageReader#getImageTypes(int),2
javax.imageio.ImageReader#getDefaultReadParam(),3
javax.imageio.ImageReader#getStreamMetadata(),1
javax.imageio.ImageReader#getStreamMetadata(java.lang.String java.util.Set<java.lang.String>),6
javax.imageio.ImageReader#getMetadata(java.lang.String java.util.Set boolean int),35
javax.imageio.ImageReader#getImageMetadata(int),2
javax.imageio.ImageReader#getImageMetadata(int java.lang.String java.util.Set<java.lang.String>),6
javax.imageio.ImageReader#read(int),3
javax.imageio.ImageReader#read(int javax.imageio.ImageReadParam),2
javax.imageio.ImageReader#readAll(int javax.imageio.ImageReadParam),20
javax.imageio.ImageReader#readAll(java.util.Iterator<javax.imageio.ImageReadParam>),56
javax.imageio.ImageReader#canReadRaster(),3
javax.imageio.ImageReader#readRaster(int javax.imageio.ImageReadParam),4
javax.imageio.ImageReader#isImageTiled(int),3
javax.imageio.ImageReader#getTileWidth(int),3
javax.imageio.ImageReader#getTileHeight(int),3
javax.imageio.ImageReader#getTileGridXOffset(int),3
javax.imageio.ImageReader#getTileGridYOffset(int),3
javax.imageio.ImageReader#readTile(int int int),7
javax.imageio.ImageReader#readTileRaster(int int int),11
javax.imageio.ImageReader#readAsRenderedImage(int javax.imageio.ImageReadParam),5
javax.imageio.ImageReader#readerSupportsThumbnails(),3
javax.imageio.ImageReader#hasThumbnails(int),3
javax.imageio.ImageReader#getNumThumbnails(int),4
javax.imageio.ImageReader#getThumbnailWidth(int int),4
javax.imageio.ImageReader#getThumbnailHeight(int int),4
javax.imageio.ImageReader#readThumbnail(int int),5
javax.imageio.ImageReader#abort(),3
javax.imageio.ImageReader#abortRequested(),3
javax.imageio.ImageReader#clearAbortRequest(),3
javax.imageio.ImageReader#addToList(java.util.List java.lang.Object),7
javax.imageio.ImageReader#removeFromList(java.util.List java.lang.Object),10
javax.imageio.ImageReader#addIIOReadWarningListener(javax.imageio.event.IIOReadWarningListener),7
javax.imageio.ImageReader#removeIIOReadWarningListener(javax.imageio.event.IIOReadWarningListener),14
javax.imageio.ImageReader#removeAllIIOReadWarningListeners(),4
javax.imageio.ImageReader#addIIOReadProgressListener(javax.imageio.event.IIOReadProgressListener),6
javax.imageio.ImageReader#removeIIOReadProgressListener(javax.imageio.event.IIOReadProgressListener),7
javax.imageio.ImageReader#removeAllIIOReadProgressListeners(),3
javax.imageio.ImageReader#addIIOReadUpdateListener(javax.imageio.event.IIOReadUpdateListener),7
javax.imageio.ImageReader#removeIIOReadUpdateListener(javax.imageio.event.IIOReadUpdateListener),6
javax.imageio.ImageReader#removeAllIIOReadUpdateListeners(),3
javax.imageio.ImageReader#processSequenceStarted(int),11
javax.imageio.ImageReader#processSequenceComplete(),11
javax.imageio.ImageReader#processImageStarted(int),11
javax.imageio.ImageReader#processImageProgress(float),11
javax.imageio.ImageReader#processImageComplete(),11
javax.imageio.ImageReader#processThumbnailStarted(int int),12
javax.imageio.ImageReader#processThumbnailProgress(float),11
javax.imageio.ImageReader#processThumbnailComplete(),11
javax.imageio.ImageReader#processReadAborted(),11
javax.imageio.ImageReader#processPassStarted(java.awt.image.BufferedImage int int int int int int int int[]),21
javax.imageio.ImageReader#processImageUpdate(java.awt.image.BufferedImage int int int int int int int[]),20
javax.imageio.ImageReader#processPassComplete(java.awt.image.BufferedImage),11
javax.imageio.ImageReader#processThumbnailPassStarted(java.awt.image.BufferedImage int int int int int int int int[]),21
javax.imageio.ImageReader#processThumbnailUpdate(java.awt.image.BufferedImage int int int int int int int[]),20
javax.imageio.ImageReader#processThumbnailPassComplete(java.awt.image.BufferedImage),11
javax.imageio.ImageReader#processWarningOccurred(java.lang.String),15
javax.imageio.ImageReader#processWarningOccurred(java.lang.String java.lang.String),59
javax.imageio.ImageReader#reset(),8
javax.imageio.ImageReader#dispose(),2
javax.imageio.ImageReader#getSourceRegion(javax.imageio.ImageReadParam int int),20
javax.imageio.ImageReader#computeRegions(javax.imageio.ImageReadParam int int java.awt.image.BufferedImage java.awt.Rectangle java.awt.Rectangle),86
